Document ID	currentLocationId	locations	products	settings	shoppingList	updatedAt
device_0742j9zqglm_1778768817951	1778762544503	[{"name": "Almenara", "id": 1778762544503, "lastUpdateAt": "2026-05-20T17:10:54.774Z", "note": "Enchufa el tanque del agua caliente.", "createdAt": "2026-05-14T12:42:24.503Z", "lastUpdateBy": "Jesus"}, {"id": 1778762544504, "name": "Madrid", "lastUpdateAt": "2026-05-20T17:10:51.540Z", "lastUpdateBy": "Jesus", "createdAt": "2026-05-14T12:42:24.504Z"}]	[{"createdAt": "2026-05-14T19:53:05.676Z", "location": "other", "notes": "", "locationId": 1778762544503, "id": 1778788385676, "name": "Leche", "perishable": true, "barcode": "", "quantity": 1, "category": "dairy", "expiryDate": "2026-07-31", "unit": "unidad"}, {"unit": "g", "category": "pantry", "expiryDate": null, "quantity": 707, "barcode": "7622202214530", "perishable": false, "name": "Galletas La Buena Maria", "id": 1778793894249, "locationId": 1778762544503, "notes": "Marca: Fontaneda", "createdAt": "2026-05-14T21:24:54.249Z", "location": "pantry"}, {"id": 1778845138797, "name": "Garbanzos", "locationId": 1778762544503, "notes": "", "location": "pantry", "createdAt": "2026-05-15T11:38:58.797Z", "unit": "unidad", "expiryDate": null, "category": "pantry", "quantity": 1, "perishable": false, "barcode": ""}, {"quantity": 1, "perishable": false, "barcode": "", "unit": "unidad", "expiryDate": null, "category": "pantry", "notes": "", "location": "pantry", "createdAt": "2026-05-15T11:39:15.919Z", "id": 1778845155919, "name": "Fideos", "locationId": 1778762544503}, {"unit": "unidad", "expiryDate": null, "category": "pantry", "quantity": 2, "barcode": "", "perishable": false, "name": "Lentejas", "id": 1778845182030, "locationId": 1778762544503, "notes": "", "location": "pantry", "createdAt": "2026-05-15T11:39:42.030Z"}, {"expiryDate": null, "category": "pantry", "unit": "unidad", "barcode": "", "perishable": false, "quantity": 3, "locationId": 1778762544503, "name": "Macarrones", "id": 1778845251569, "location": "pantry", "createdAt": "2026-05-15T11:40:51.569Z", "notes": "Uno abierto"}, {"locationId": 1778762544503, "name": "Arroz", "id": 1778845298658, "createdAt": "2026-05-15T11:41:38.658Z", "location": "pantry", "notes": "Poco", "category": "pantry", "expiryDate": null, "unit": "unidad", "barcode": "", "perishable": false, "quantity": 1}, {"locationId": 1778762544503, "name": "Judía blanca", "id": 1778845339763, "location": "pantry", "createdAt": "2026-05-15T11:42:19.763Z", "notes": "Bote grande de luengo", "expiryDate": null, "category": "pantry", "unit": "unidad", "perishable": false, "barcode": "", "quantity": 1}, {"createdAt": "2026-05-15T11:54:08.419Z", "location": "pantry", "notes": "Marca: Consum", "locationId": 1778762544503, "name": "Caldo de pescado", "id": 1778846048419, "barcode": "8414807512192", "perishable": true, "quantity": 1, "category": "pantry", "expiryDate": "2026-07-11", "unit": "l"}, {"locationId": 1778762544503, "id": 1778846123531, "name": "Caldo cocido", "createdAt": "2026-05-15T11:55:23.531Z", "location": "pantry", "notes": "Marca: Carrefour", "category": "pantry", "expiryDate": "2026-10-14", "unit": "unidad", "perishable": true, "barcode": "3560070596478", "quantity": 2}, {"unit": "g", "category": "produce", "expiryDate": "2027-01-01", "quantity": 350, "barcode": "8410066128273", "perishable": true, "id": 1778846275916, "name": "Tomate frito con AOVE", "locationId": 1778762544503, "notes": "Marca: Orlando", "createdAt": "2026-05-15T11:57:55.916Z", "location": "fridge"}, {"barcode": "8410118048115", "perishable": false, "quantity": 2, "expiryDate": null, "category": "pantry", "unit": "", "location": "pantry", "createdAt": "2026-05-15T12:00:13.980Z", "notes": "Marca: Prima", "locationId": 1778762544503, "name": "Bolsitas mayonesa ~Original~", "id": 1778846413980}, {"quantity": 3, "perishable": true, "barcode": "8431876069556", "unit": "unidad", "expiryDate": null, "category": "other", "notes": "Marca: Carrefour", "location": "pantry", "createdAt": "2026-05-15T12:01:02.536Z", "name": "Atún Claro en Aceite de Oliva", "id": 1778846462536, "locationId": 1778762544503}, {"quantity": 6, "barcode": "", "perishable": false, "unit": "unidad", "expiryDate": null, "category": "beverages", "notes": "", "location": "pantry", "createdAt": "2026-05-16T12:04:08.953Z", "name": "Cerveza ", "id": 1778933048953, "locationId": 1778762544503}, {"unit": "unidad", "expiryDate": null, "category": "beverages", "quantity": 5, "perishable": false, "barcode": "", "name": "Fanta naranja", "id": 1778933100059, "locationId": 1778762544503, "notes": "", "location": "pantry", "createdAt": "2026-05-16T12:05:00.059Z"}, {"locationId": 1778762544503, "name": "Lubina", "id": 1779051210848, "location": "freezer", "createdAt": "2026-05-17T20:53:30.848Z", "notes": "", "expiryDate": "2026-08-12", "category": "frozen", "unit": "unidad", "barcode": "", "perishable": true, "quantity": 1}, {"notes": "", "location": "freezer", "createdAt": "2026-05-17T20:54:36.641Z", "id": 1779051276641, "name": "Corvina", "locationId": 1778762544503, "quantity": 1, "perishable": true, "barcode": "", "unit": "unidad", "expiryDate": "2026-08-13", "category": "pantry"}, {"unit": "unidad", "category": "meat", "expiryDate": "2026-08-12", "quantity": 4, "barcode": "", "perishable": true, "id": 1779051310227, "name": "Filetes de lomo", "locationId": 1778762544503, "notes": "", "createdAt": "2026-05-17T20:55:10.227Z", "location": "freezer"}, {"category": "pantry", "expiryDate": null, "unit": "unidad", "perishable": false, "barcode": "", "quantity": 3, "locationId": 1778762544503, "name": "Aceite", "id": 1779051366676, "createdAt": "2026-05-17T20:56:06.676Z", "location": "pantry", "notes": ""}, {"locationId": 1778762544503, "id": 1779051396992, "name": "Pan", "location": "freezer", "createdAt": "2026-05-17T20:56:36.992Z", "notes": "", "expiryDate": null, "category": "pantry", "unit": "unidad", "barcode": "", "perishable": false, "quantity": 1}]	{"userName": "Jesus", "expiryDays": 2}	[{"id": 1778855277372, "name": "Leche", "completed": false, "createdAt": "2026-05-15T14:27:57.372Z"}, {"completed": false, "createdAt": "2026-05-15T14:28:02.150Z", "id": 1778855282150, "name": "Pan"}, {"name": "Agua", "id": 1778855286335, "createdAt": "2026-05-15T14:28:06.335Z", "completed": false}]	"2026-05-20T17:10:54.774Z"
device_1inedbo3c8n_1778871536576	null	[{"createdAt": "2026-05-15T18:58:56.577Z", "id": 1778871536577, "name": "Almenara"}, {"createdAt": "2026-05-15T18:58:56.581Z", "name": "Madrid", "id": 1778871536581}]	[]	{"userName": "", "expiryDays": 2}	[]	"2026-05-15T18:58:56.581Z"
device_2ki3uh9wcmd_1779100181120	null	[{"id": 1779100181125, "name": "Almenara", "createdAt": "2026-05-18T10:29:41.125Z"}, {"createdAt": "2026-05-18T10:29:41.130Z", "name": "Madrid", "id": 1779100181130}]	[]	{"userName": "", "expiryDays": 2}	[]	"2026-05-18T10:29:41.131Z"
device_8iu3bg87z56_1778785674293	null	[{"id": 1778785674310, "name": "Almenara", "createdAt": "2026-05-14T19:07:54.310Z"}, {"createdAt": "2026-05-14T19:07:54.329Z", "name": "Madrid", "id": 1778785674329}]	[]	{"userName": "", "expiryDays": 2}	[]	"2026-05-14T19:07:54.329Z"
device_bfqy5d3iadq_1778776714548	null	[{"id": 1778776714550, "name": "Almenara", "createdAt": "2026-05-14T16:38:34.550Z"}, {"createdAt": "2026-05-14T16:38:34.556Z", "id": 1778776714556, "name": "Madrid"}]	[]	{"userName": "", "expiryDays": 2}	[]	"2026-05-14T16:38:34.556Z"
device_goca2rxdoc_1779297004363	null	[{"createdAt": "2026-05-20T17:10:04.366Z", "note": "", "name": "Almenara", "id": 1779297004365}, {"createdAt": "2026-05-20T17:10:04.367Z", "note": "", "name": "Madrid", "id": 1779297004367}]	[]	{"userName": "", "expiryDays": 2}	[]	"2026-05-20T17:10:04.367Z"
device_kd41eouq04c_1778766624471	null	[{"id": 1778766624473, "name": "Almenara", "createdAt": "2026-05-14T13:50:24.473Z"}, {"createdAt": "2026-05-14T13:50:24.476Z", "name": "Madrid", "id": 1778766624476}]	[]	{"expiryDays": 2}	[]	"2026-05-14T13:50:24.476Z"
device_no0ascvzaf_1778764055115	1778757183770	[{"createdAt": "2026-05-14T11:13:03.770Z", "lastUpdateBy": "JESUS", "note": "Encetan / enchufar el tanque de agua caliente", "lastUpdateAt": "2026-05-19T11:50:39.672Z", "name": "Almenara", "id": 1778757183770}, {"createdAt": "2026-05-14T11:13:03.771Z", "lastUpdateBy": "JESUS", "id": 1778757183771, "name": "Madrid", "lastUpdateAt": "2026-05-14T15:54:35.475Z"}]	[{"perishable": false, "barcode": "", "quantity": 1, "category": "beverages", "expiryDate": "2026-08-29", "unit": "unidad", "createdAt": "2026-05-14T14:37:16.078Z", "location": "pantry", "notes": "", "locationId": 1778757183770, "name": "cocacola", "id": 1778769436078}, {"location": "pantry", "createdAt": "2026-05-14T15:01:44.285Z", "notes": "", "locationId": 1778757183770, "id": 1778770904285, "name": "Galletas La Buena Maria", "perishable": false, "barcode": "", "quantity": 1, "expiryDate": null, "category": "dairy", "unit": "unidad"}, {"expiryDate": null, "category": "beverages", "unit": "unidad", "barcode": "", "perishable": false, "quantity": 6, "locationId": 1778757183770, "name": "cocacola", "id": 1778773946080, "location": "fridge", "createdAt": "2026-05-14T15:52:26.080Z", "notes": ""}, {"name": "Leche", "id": 1778774518869, "locationId": 1778757183770, "notes": "", "location": "fridge", "createdAt": "2026-05-14T16:01:58.869Z", "unit": "unidad", "expiryDate": null, "category": "dairy", "quantity": 1, "perishable": false, "barcode": ""}, {"quantity": 10, "barcode": "", "perishable": false, "unit": "unidad", "category": "pantry", "expiryDate": null, "notes": "", "createdAt": "2026-05-15T17:07:58.740Z", "location": "pantry", "name": "cocacola", "id": 1778864878740, "locationId": 1778757183770}]	{"userName": "JESUS", "expiryDays": 2}	[]	"2026-05-19T11:50:39.672Z"
device_o7kej7fsiv_1779296293290	1778762377293	[{"id": 1778762377293, "name": "Almenara", "createdAt": "2026-05-14T12:39:37.293Z"}, {"createdAt": "2026-05-14T12:39:37.293Z", "id": 1778762377293, "name": "Madrid"}, {"note": "", "createdAt": "2026-05-20T17:12:20.850Z", "id": 1779297140850, "name": "campo"}]	[]	{"expiryDays": 2}	[]	"2026-05-20T17:12:20.850Z"
device_psrt6r39wih_1778797647753	null	[{"name": "Almenara", "id": 1778797647755, "createdAt": "2026-05-14T22:27:27.755Z"}, {"createdAt": "2026-05-14T22:27:27.756Z", "name": "Madrid", "id": 1778797647756}]	[]	{"userName": "", "expiryDays": 2}	[]	"2026-05-14T22:27:27.756Z"
